,,SSR,SRR,cost,shift,scale
Louis Cressy Band - Good Time,drums,16.542651072403277,8.399083062532172,7.9819147861123465,"[[0.0, -12.0], [10.0, 0.0]]","[[0.8101816164017518, 0.07678100475726209], [0.0740223724473612, 0.8406916572805211]]"
Louis Cressy Band - Good Time,other,16.15891686436943,7.96963060040466,8.571020101885685,"[[0.0, -1.0], [0.0, 0.0]]","[[0.8306485900884892, -0.01185433983996105], [-0.013419781089425717, 0.8379330982776024]]"
Louis Cressy Band - Good Time,vocals,0.0,-32.19169123780568,0.6579792278565751,"[[-44100.0, -44100.0], [-44100.0, -44100.0]]","[[0.0, 0.0], [0.0, 0.0]]"
Lyndsey Ollard - Catching Up,bass,8.915991341408432,5.4378050123545965,1.5738766836703955,"[[-3.0, -3.0], [-2.0, -1.5]]","[[0.0, 0.5174117417560491], [-0.011709356759460365, 0.6110331156757439]]"
Lyndsey Ollard - Catching Up,drums,9.465768331870436,4.037363326193802,3.2425941912612615,"[[0.0, 0.0], [-13.0, 0.0]]","[[0.6309808424794707, 0.0007290080210175579], [0.07821650907274483, 0.3407143931317341]]"
Lyndsey Ollard - Catching Up,other,15.473491292031778,5.760897402181492,4.777685958001945,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7996836527446209, 0.010933320809325412], [0.007553947208349046, 0.8398344711647989]]"
Lyndsey Ollard - Catching Up,vocals,19.200987978301384,11.497888345430908,3.198463059462812,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7634082125512108, 0.12452786431997065], [0.17463525023158416, 0.7054705441139391]]"
M.E.R.C. Music - Knockout,bass,2.928720531601004,2.2411893891174444,4.1630971122540075,"[[-3.5, -5.0], [-6.0, -6.5]]","[[0.055380379279115266, 0.026252799710117992], [0.0, 0.19503379373643176]]"
M.E.R.C. Music - Knockout,drums,17.21889734386008,8.366507557466667,6.758330925247656,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8489563609904891, 0.02129728948221212], [0.08903762867293658, 0.7816880249388972]]"
M.E.R.C. Music - Knockout,other,7.709721148069351,2.043030583211411,8.108954499602255,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5375993656577387, 0.0414344866141764], [0.03501877751998893, 0.5515593918865754]]"
M.E.R.C. Music - Knockout,vocals,15.71239581050185,6.73522675312731,9.153710836930475,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8214550189906289, 0.0], [0.01177077427163322, 0.8142721443556603]]"
Moosmusic - Big Dummy Shake,bass,14.57857071107464,6.083892118086815,8.519220058551726,"[[0.0, 2.0], [-5.0, -3.0]]","[[0.5314843614870335, 0.17845633233120328], [0.27142491664087276, 0.3815648868459118]]"
Moosmusic - Big Dummy Shake,drums,17.79496604889491,9.441621226705136,10.816074240388096,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8617655607728071, 0.03923859650131466], [0.11117457500840824, 0.7745712124418731]]"
Moosmusic - Big Dummy Shake,other,11.442476569545992,4.156355865585838,11.624114875979474,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7673188485621498, -0.014770696618314465], [-0.030689835769684305, 0.7695241210262724]]"
