,,,SSR,SRR,cost,shift,scale
faks0,0.0,-0.002714417616594907,53.42467071313717,80.0,2.1206321121812824e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5010648122504375, 0.5010648122504374], [0.49893291525457995, 0.49893291525457983]]"
faks0,0.0,-0.0009032010701366817,62.982513685177196,80.0,3.949810050050051e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.500354560398768, 0.5003545603987679], [0.49964518799659785, 0.49964518799659774]]"
faks0,0.0,-0.00030053303814001574,72.54035795803088,80.0,1.6179920708978114e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5001180051185062, 0.5001180051185061], [0.4998819670245025, 0.49988196702450244]]"
faks0,0.0,-0.0001,80.0,80.0,1.3361112163776644e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000392683660039, 0.5000392683660038], [0.4999607285497447, 0.4999607285497447]]"
faks0,0.0,0.0001,80.0,80.0,1.5019749851690903e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4999607285497449, 0.49996072854974477], [0.5000392683660038, 0.5000392683660038]]"
faks0,0.0,0.00030053303814001574,72.54035795802709,80.0,2.2127868061346687e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49988196702450255, 0.49988196702450244], [0.5001180051185062, 0.5001180051185061]]"
faks0,0.0,0.0009032010701366826,62.98251368517662,80.0,3.530370374447196e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49964518799659785, 0.49964518799659774], [0.5003545603987679, 0.5003545603987678]]"
faks0,0.0,0.002714417616594907,53.424670713137346,80.0,3.646380724086007e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49893291525457995, 0.49893291525457983], [0.5010648122504373, 0.5010648122504372]]"
faks0,0.0,0.008157721730960486,43.86683949008611,80.0,1.8418368265346746e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49678622951687634, 0.4967862295168763], [0.5031932453465621, 0.503193245346562]]"
faks0,0.0,0.02451664896106383,34.309114384379015,80.0,2.1917620438084268e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4902802403139266, 0.4902802403139266], [0.5095343815266231, 0.509534381526623]]"
faks0,0.0,0.07368062997280773,24.752347761002472,80.0,2.148158293686131e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4702448696481732, 0.47024486964817314], [0.5280812083094536, 0.5280812083094535]]"
